Targets,Scenarios,Type of investment,Investment category,Year,Amount
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,0
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,BAU,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 1,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 2,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 3,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 4,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 5,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 6,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 7,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 8,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 9,0
Target B1,BAU,Costs for training and capacity building,Institutional costs,Year 10,0
Target B1,BAU,Total institutional costs,Institutional costs,BAU,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 1,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 2,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 3,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 4,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 5,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 6,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 7,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 8,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 9,0
Target B1,BAU,Total institutional costs,Institutional costs,Year 10,0
Target B1,BAU,Labor costs,Individual farmer costs,BAU,0
Target B1,BAU,Labor costs,Individual farmer costs,Year 1,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 2,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 3,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 4,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 5,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 6,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 7,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 8,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 9,420.89
Target B1,BAU,Labor costs,Individual farmer costs,Year 10,420.89
Target B1,BAU,Input costs,Individual farmer costs,BAU,0
Target B1,BAU,Input costs,Individual farmer costs,Year 1,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 2,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 3,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 4,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 5,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 6,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 7,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 8,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 9,434.67
Target B1,BAU,Input costs,Individual farmer costs,Year 10,434.67
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,BAU,0
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 1,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 2,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 3,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 4,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 5,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 6,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 7,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 8,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 9,855.56
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,Year 10,855.56
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,47917.73
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,35785.28
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,35785.28
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,BAU,0
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 1,8339.6
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 2,5837.72
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 3,4169.8
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 4,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 5,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 6,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 7,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 8,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 9,2501.88
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,Year 10,2501.88
Target B1,Scenario 2,Total institutional costs,Institutional costs,BAU,0
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 1,56257.33
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 2,41622.99
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 3,39955.07
Target B1,Scenario 2,Total institutional costs,Institutional costs,Year 4,38287.16
