Targets,Scenarios,Type of investment,Investment category,BAU,Year 1,Year 2 ,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
Target B1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Costs for training and capacity building,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Total institutional costs,Institutional costs,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Target B1,BAU,Labor costs,Individual farmer costs,$0.00 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 ,$420.89 
Target B1,BAU,Input costs,Individual farmer costs,$0.00 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 ,$434.67 
Target B1,BAU,Total individual costs to farmer,Individual farmer costs,$0.00 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 ,$855.56 
Target B1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$47,917.73 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 ","$35,785.28 "
Target B1,Scenario 2,Costs for training and capacity building,Institutional costs,$0.00 ,"$8,339.60 ","$5,837.72 ","$4,169.80 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 ","$2,501.88 "
Target B1,Scenario 2,Total institutional costs,Institutional costs,$0.00 ,"$56,257.33 ","$41,622.99 ","$39,955.07 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 ","$38,287.16 "
Target B1,Scenario 2,Labor costs,Individual farmer costs,$0.00 ,$467.08 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 ,$434.42 
Target B1,Scenario 2,Input costs,Individual farmer costs,$0.00 ,$527.55 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 ,$487.87 ,$453.71 
Target B1,Scenario 2,Total individual costs to farmer,Individual farmer costs,$0.00 ,$994.63 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 ,$922.29 ,$888.12 
Target B1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$62,987.74 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 ","$49,831.11 "
Target B1,Scenario 3,Costs for training and capacity building,Institutional costs,$0.00 ,"$13,381.23 ","$12,043.11 ","$12,043.11 ","$12,043.11 ","$12,043.11 ","$9,366.86 ","$9,366.86 ","$9,366.86 ","$9,366.86 ","$9,366.86 "
Target B1,Scenario 3,Total institutional costs,Institutional costs,$0.00 ,"$76,368.97 ","$61,874.22 ","$61,874.22 ","$61,874.22 ","$61,874.22 ","$59,197.98 ","$59,197.98 ","$59,197.98 ","$59,197.98 ","$59,197.98 "
Target B1,Scenario 3,Labor costs,Individual farmer costs,$0.00 ,$476.98 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 ,$423.89 
Target B1,Scenario 3,Input costs,Individual farmer costs,$0.00 ,$627.66 ,$451.80 ,$451.80 ,$451.80 ,$451.80 ,$448.00 ,$448.00 ,$448.00 ,$448.00 ,$448.00 
Target B1,Scenario 3,Total individual costs to farmer,Individual farmer costs,$0.00 ,"$1,104.63 ",$875.70 ,$875.70 ,$875.70 ,$875.70 ,$871.89 ,$871.89 ,$871.89 ,$871.89 ,$871.89 
Target B1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,$0.00 ,"$55,452.74 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 ","$42,808.20 "
Target B1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,$0.00 ,"$10,860.42 ","$8,940.41 ","$8,106.45 ","$7,272.49 ","$7,272.49 ","$5,934.37 ","$5,934.37 ","$5,934.37 ","$5,934.37 ","$5,934.37 "
Target B1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,$0.00 ,"$66,313.15 ","$51,748.61 ","$50,914.65 ","$50,080.69 ","$50,080.69 ","$48,742.57 ","$48,742.57 ","$48,742.57 ","$48,742.57 ","$48,742.57 "
Target B1,Average (Scen2 & Scen3),Labor costs,Individual farmer costs,$0.00 ,$472.03 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 ,$429.16 
Target B1,Average (Scen2 & Scen3),Input costs,Individual farmer costs,$0.00 ,$577.61 ,$452.76 ,$469.84 ,$452.76 ,$469.84 ,$450.85 ,$467.93 ,$450.85 ,$467.93 ,$450.85 
Target B1,Average (Scen2 & Scen3),Total individual costs to farmer,Individual farmer costs,$0.00 ,"$1,049.63 ",$881.91 ,$898.99 ,$881.91 ,$898.99 ,$880.01 ,$897.09 ,$880.01 ,$897.09 ,$880.01 
Target B1,Scenario 2,Incremental labor costs,Individual farmer costs,$0.00 ,$46.19 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 ,$13.53 
Target B1,Scenario 2,Incremental input costs,Individual farmer costs,$0.00 ,$92.89 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 ,$53.20 ,$19.04 
Target B1,Scenario 2,Incremental total individual costs to farmer,Individual farmer costs,$0.00 ,$139.08 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 ,$66.73 ,$32.57 
Target B1,Scenario 3,Incremental labor costs,Individual farmer costs,$0.00 ,$56.09 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 ,$3.01 
Target B1,Scenario 3,Incremental input costs,Individual farmer costs,$0.00 ,$192.99 ,$17.14 ,$17.14 ,$17.14 ,$17.14 ,$13.33 ,$13.33 ,$13.33 ,$13.33 ,$13.33 
Target B1,Scenario 3,Incremental total individual costs to farmer,Individual farmer costs,$0.00 ,$249.08 ,$20.14 ,$20.14 ,$20.14 ,$20.14 ,$16.33 ,$16.33 ,$16.33 ,$16.33 ,$16.33 
Target B1,Average (Scen2 & Scen3),Incremental labor costs,Individual farmer costs,$0.00 ,$51.14 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 ,$8.27 
