Targets,Scenarios,Type of investment,Investment category,Year,Amount
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,BAU,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 1,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 2,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 3,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 4,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 5,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 6,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 7,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 8,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 9,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 10,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 20,0
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,Year 30,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,BAU,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 1,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 2,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 3,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 4,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 5,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 6,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 7,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 8,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 9,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 10,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 20,0
Target 1,BAU,Costs for training and capacity building,Institutional costs,Year 30,0
Target 1,BAU,Total institutional costs,Institutional costs,BAU,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 1,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 2,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 3,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 4,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 5,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 6,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 7,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 8,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 9,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 10,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 20,0
Target 1,BAU,Total institutional costs,Institutional costs,Year 30,0
Target 1,BAU,Labor costs,Individual farmer costs,BAU,0
