Targets,Scenarios,Type of investment,Investment category,BAU,Year 1,Year 2 ,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 20,Year 30
Target 1,BAU,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 1,BAU,Costs for training and capacity building,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 1,BAU,Total institutional costs,Institutional costs,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Target 1,BAU,Labor costs,Individual farmer costs,$0.00,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37,$286.37
Target 1,BAU,Input costs,Individual farmer costs,$0.00,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31,$537.31
Target 1,BAU,Total individual costs to farmer,Individual farmer costs,$0.00,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68,$823.68
Target 1,Scenario 2,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,550.81","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08"
Target 1,Scenario 2,Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 1,Scenario 2,Total institutional costs,Institutional costs,$0.00,"$41,037.30","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73"
Target 1,Scenario 2,Labor costs,Individual farmer costs,$0.00,$624.21,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99
Target 1,Scenario 2,Input costs,Individual farmer costs,$0.00,$790.82,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42
Target 1,Scenario 2,Total individual costs to farmer,Individual farmer costs,$0.00,"$1,415.03","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41"
Target 1,Scenario 3,Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,550.81","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08"
Target 1,Scenario 3,Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 1,Scenario 3,Total institutional costs,Institutional costs,$0.00,"$41,037.30","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73"
Target 1,Scenario 3,Labor costs,Individual farmer costs,$0.00,$624.21,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99,$407.99
Target 1,Scenario 3,Input costs,Individual farmer costs,$0.00,$737.31,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42,$645.42
Target 1,Scenario 3,Total individual costs to farmer,Individual farmer costs,$0.00,"$1,361.52","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41","$1,053.41"
Target 1,Average (Scen2 & Scen3),Costs of establishing and/or maintain nurseries,Institutional costs,$0.00,"$14,550.81","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08","$7,431.08"
Target 1,Average (Scen2 & Scen3),Costs for training and capacity building,Institutional costs,$0.00,"$26,486.49","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65","$2,648.65"
Target 1,Average (Scen2 & Scen3),Total institutional costs,Institutional costs,$0.00,"$41,037.30","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73","$10,079.73"
